marker_symbol,mp_term_name,zygosity,effect_size
Rnf10,abnormal retinal inner nuclear layer morphology,homozygote,-1.25974798824958
Clpp,decreased bone mineral content,homozygote,-3.72944682867496
Tgif2,decreased circulating calcium level,heterozygote,-1.92620466486008
Pitpnm1,increased bone mineral content,homozygote,0.44824793965242
Chmp7,abnormal coat/hair pigmentation,heterozygote,0.817120622568093
Rnf14,increased liver weight,homozygote,0.847712808779639
Rbm22,abnormal duodenum morphology,heterozygote,1
Il2ra,decreased circulating total protein level,homozygote,-4.52452055605593
Hpca,increased circulating iron level,homozygote,0.225842391851097
Ino80,prolonged RR interval,heterozygote,0.869296409247929
Ubxn7,abnormal craniofacial morphology,homozygote,1
Pgbd5,abnormal sternum morphology,homozygote,1
Laptm4a,prolonged QT interval,homozygote,2.06383506335305
Dlgap1,hyperactivity,homozygote,-0.915532496137405
Anxa13,increased freezing behavior,homozygote,0.738152028086081
Bnc1,decreased exploration in new environment,homozygote,0.778889859885036
Chn1,decreased circulating free fatty acids level,homozygote,-1.20613158773374
Phgdh,edema,homozygote,1
Taar6,increased pulmonary respiratory rate,homozygote,0.846562152843397
Clcnkb,decreased lymphocyte cell number,homozygote,-2.00391670000093
Cd22,decreased lymphocyte cell number,homozygote,-2.82609742877522
Macir,increased circulating chloride level,heterozygote,0.776730649162841
Col18a1,irregularly shaped pupil,homozygote,0.512400455062571
Syt1,increased circulating calcium level,heterozygote,1.91711936055756
Rnf24,abnormal bone mineralization,homozygote,-0.0855679928032806
Zdhhc5,decreased total retina thickness,homozygote,-1.41712708424819
Pcnx2,decreased bone mineral density,heterozygote,-0.166416625854628
Foxk2,decreased bone mineral density,homozygote,-1.85936124731686
Strip2,abnormal pancreas morphology,homozygote,1
Aste1,abnormal behavior,homozygote,-0.506030199788733
Cog6,vertebral transformation,homozygote,0.674798707873294
Lta,decreased monocyte cell number,homozygote,-2.05058220840148
H6pd,abnormal behavior,homozygote,-0.647830093920099
Sorl1,abnormal contextual conditioning behavior,homozygote,-1.06735354839604
Pacs2,abnormal behavior,homozygote,-1.19695074983309
Bmi1,decreased monocyte cell number,heterozygote,-0.889400361886111
Cox7c,abnormal embryo size,homozygote,1
Fndc3a,abnormal retinal vasculature morphology,homozygote,0.657251264755481
Col26a1,increased lymphocyte cell number,homozygote,1.94742385276678
Nxn,abnormal optic disk morphology,heterozygote,0.278080697928026
Fzd1,decreased exploration in new environment,homozygote,-1.57209834637384
Gpbp1,improved glucose tolerance,heterozygote,-1.0797577000857
Rab11fip4,abnormal retina morphology,homozygote,0.730424746075716
Tcf7l1,increased circulating creatine kinase level,heterozygote,0.403015988633002
Nbas,abnormal retinal vasculature morphology,heterozygote,0.532684322747166
Aifm3,increased prepulse inhibition,homozygote,0.803239009559071
Ncald,abnormal retinal blood vessel morphology,homozygote,0.337013198631253
Apex2,abnormal coat/hair pigmentation,hemizygote,0.227804071391914
Atxn7l3,abnormal retinal blood vessel morphology,heterozygote,0.377470686767169
Hsf2bp,increased mean corpuscular volume,homozygote,0.867782474105301
Aldh2,increased mean corpuscular volume,homozygote,0.891086878788181
Gm5155,abnormal bone structure,homozygote,0.290597937378608
Rbpms2,increased fasting circulating glucose level,homozygote,1.8138155568888
Uggt1,abnormal allantois morphology,homozygote,1
Rab8a,decreased lean body mass,heterozygote,-1.38167491805302
Gm20498,hypoactivity,homozygote,-0.409070105768052
Adora1,increased lean body mass,homozygote,0.808714995317499
Ncbp2,"preweaning lethality, complete penetrance",homozygote,1
Gnb5,"preweaning lethality, incomplete penetrance",homozygote,1
Xrcc3,"preweaning lethality, complete penetrance",homozygote,1
Rusc2,"preweaning lethality, incomplete penetrance",homozygote,1
Usp31,hypoactivity,homozygote,-1.54302602999961
Fbxo11,hyperactivity,heterozygote,1.62166326523167
Inhbb,hyperactivity,homozygote,2.36310741276712
Alg2,embryonic lethality prior to organogenesis,homozygote,1
Slc25a21,increased total body fat amount,homozygote,0.914333483214243
Mtx2,embryonic lethality prior to organogenesis,homozygote,1
Mvd,embryonic lethality prior to organogenesis,homozygote,1
Hspa5,embryonic lethality prior to organogenesis,homozygote,1
Sqor,decreased circulating glucose level,heterozygote,-0.690203254701266
Exoc3,decreased total body fat amount,heterozygote,-0.844253873797007
Dbn1,decreased total body fat amount,heterozygote,-1.14409039067824
Zfp54,decreased red blood cell distribution width,homozygote,-0.743118015685429
Ptp4a3,small spleen,homozygote,1
Rnase13,abnormal spleen morphology,homozygote,1
Slc24a3,increased mean platelet volume,homozygote,5.37920658076502
Slc12a5,enlarged spleen,heterozygote,1
Spag17,limb grasping,homozygote,0.440760111576011
Rims3,increased thigmotaxis,homozygote,-0.986134291112968
Id3,abnormal spleen morphology,homozygote,1
Trf,abnormal retinal blood vessel morphology,heterozygote,0.66957632531403
Fer,abnormal snout morphology,homozygote,0.397017892644135
Adar,decreased circulating bilirubin level,heterozygote,-0.883148246122403
Stag1,"preweaning lethality, complete penetrance",homozygote,1
Dbn1,"preweaning lethality, incomplete penetrance",homozygote,1
Six1,"preweaning lethality, complete penetrance",homozygote,1
Tmcc2,"preweaning lethality, incomplete penetrance",homozygote,1
Col27a1,"preweaning lethality, complete penetrance",homozygote,1
Sema3d,"preweaning lethality, complete penetrance",homozygote,1
Sox18,abnormal behavior,homozygote,0.976318173123606
Etv6,abnormal heart morphology,heterozygote,1
Clcnkb,abnormal kidney morphology,homozygote,1
Clcnkb,abnormal kidney morphology,homozygote,1
Kdm1a,small heart,heterozygote,1
Trappc2l,abnormal behavior,homozygote,-0.706644954166349
Sphk1,abnormal heart morphology,homozygote,1
Cops7a,enlarged heart,homozygote,1
Cnnm2,enlarged heart,heterozygote,1
Spred2,abnormal heart morphology,homozygote,1
Cacna1g,abnormal freezing behavior,homozygote,-0.751107076534436
Sparc,increased circulating total protein level,homozygote,0.508469179883888
Fsd2,abnormal lymph node morphology,homozygote,1
Arid3a,hemorrhage,homozygote,1
Akr1d1,decreased urine creatinine level,homozygote,-0.639749999420454
Cib1,impaired glucose tolerance,homozygote,1.53867778407423
Slc25a1,decreased blood urea nitrogen level,heterozygote,-0.334868943933085
Bbs5,increased leukocyte cell number,homozygote,1.58012446793093
Mllt6,abnormal stomach morphology,homozygote,1
Sh3rf1,abnormal optic disk morphology,homozygote,0.817720137664736
Aasdh,increased red blood cell distribution width,homozygote,1.70940108738586
Rfx6,abnormal uterus morphology,heterozygote,1
Pde11a,abnormal uterus morphology,homozygote,1
Myh1,abnormal motor learning,homozygote,-0.713500898226994
Rhbdf2,trunk curl,homozygote,0.211773326819736
Zmym4,decreased circulating fructosamine level,heterozygote,-1.08859842489153
Mroh4,abnormal coat appearance,homozygote,0.142857142857143
Srsf11,"preweaning lethality, complete penetrance",homozygote,1
Mapkap1,"preweaning lethality, complete penetrance",homozygote,1
1700007K13Rik,increased grip strength,homozygote,0.67836507111133
Pde4dip,"preweaning lethality, complete penetrance",homozygote,1
Pcnx2,decreased grip strength,homozygote,-1.45189753999794
Ipo8,decreased grip strength,heterozygote,-0.731736141120576
Dusp13,increased thymus weight,homozygote,3.22337586242485
Uchl5,hypoactivity,heterozygote,-1.48292966846026
Tpte,increased startle reflex,homozygote,1.32616144865608
Apoe,increased circulating alkaline phosphatase level,homozygote,0.746169554304936
Bap1,abnormal vocalization,heterozygote,0.276798981108045
Eef1b2,decreased total body fat amount,homozygote,-0.750779941321685
Dpp8,increased total body fat amount,homozygote,3.36092022868238
Cplane1,"preweaning lethality, complete penetrance",homozygote,1
Itpr1,"preweaning lethality, incomplete penetrance",homozygote,1
Dnase1l2,abnormal tail morphology,homozygote,0.213475669733264
Pi4ka,embryonic lethality prior to organogenesis,homozygote,1
Prox2,increased anxiety-related response,homozygote,-0.395016369222631
Ndufs2,embryonic lethality prior to organogenesis,homozygote,1
Mex3b,hyperactivity,homozygote,-1.58730313691591
Selenbp1,decreased circulating phosphate level,homozygote,-0.167838274565018
Nav2,small kidney,homozygote,1
Strbp,increased total retina thickness,homozygote,1.70320669855171
Usp31,increased eosinophil cell number,homozygote,2.69181771856914
Yars,embryonic lethality prior to tooth bud stage,homozygote,1
Grm3,decreased bone mineral content,homozygote,-0.766483461457198
Fos,decreased lean body mass,heterozygote,-4.37351739018707
Setx,decreased leukocyte cell number,homozygote,-1.14585552947162
Deptor,decreased circulating triglyceride level,homozygote,-0.954344114606148
Cyp7a1,increased circulating HDL cholesterol level,homozygote,1.83411884762333
Srcap,decreased circulating triglyceride level,heterozygote,-1.06732079882844
Igsf8,decreased circulating triglyceride level,homozygote,-0.527925482501391
