.rownames,Disorder id,Disorder name,Human gene symbol,Mouse model description,PhenoDigm % score,Matching human phenotypes,Matching mouse phenotypes
1,OMIM:100300,Adams-Oliver Syndrome 1,ARHGAP31,Arhgap31<em1(IMPC)Bay> het embryo,12.31,HP:0002084,MP:0001697
2,OMIM:100300,Adams-Oliver Syndrome 1,ARHGAP31,Arhgap31<em1(IMPC)Bay> hom embryo,21.11,"HP:0000822,HP:0001642,HP:0002092,HP:0001650",MP:0001914
3,OMIM:101400,Saethre-Chotzen Syndrome,TWIST1,Twist1<em1(IMPC)Rbrc> het early,40.65,"HP:0011323,HP:0000294,HP:0001159,HP:0010104,HP:0009968,HP:0002644,HP:0001770,HP:0002974,HP:0000327,HP:0009951,HP:0004209,HP:0001822,HP:0001156","MP:0000572,MP:0002110,MP:0004509,MP:0000579,MP:0005270"
4,OMIM:101400,Saethre-Chotzen Syndrome,TWIST1,Twist1<em1(IMPC)Rbrc> het late,32.9,"HP:0000294,HP:0001159,HP:0010104,HP:0009968,HP:0002644,HP:0001770,HP:0002974,HP:0009951,HP:0004209,HP:0001822,HP:0001156","MP:0000579,MP:0000572,MP:0002110"
5,OMIM:102530,Spermatogenic Failure 6,SPATA16,Spata16<em1(IMPC)Marc> hom early,61.31,"HP:0031136,HP:0003251,HP:0012205","MP:0001925,MP:0001926"
6,OMIM:103780,Alcohol Dependence,GABRA2,Gabra2<em1(IMPC)H> hom early,58.235,HP:0030955,"MP:0002797,MP:0001363,MP:0001399"
7,OMIM:104200,"Alport Syndrome 3A, Autosomal Dominant",COL4A3,Col4a3<tm1b(EUCOMM)Wtsi> hom early,38.995,"HP:0002148,HP:0003774,HP:0001142,HP:0000093,HP:0002907,HP:0001134,HP:0002157,HP:0000123,HP:0000100,HP:0000083,HP:0030034,HP:0000099,HP:0004722,HP:0000121,HP:0000790","MP:0008805,MP:0003917,MP:0001319"
8,OMIM:104300,"Alzheimer Disease, Familial, 1",APP,App<tm1b(KOMP)Wtsi> het early,27.45,HP:0410054,"MP:0005565,MP:0000194"
9,OMIM:104300,"Alzheimer Disease, Familial, 1",PLAU,Plau<tm1b(EUCOMM)Wtsi> hom early,30.995,HP:0000726,MP:0001417
10,OMIM:104300,"Alzheimer Disease, Familial, 1",NOS3,Nos3<em1(IMPC)Mbp> hom early,23.245,HP:0410054,"MP:0005565,MP:0000198"
11,OMIM:104530,"Amelogenesis Imperfecta, Type Ia",LAMB3,Lamb3<tm1b(KOMP)Wtsi> hom early,70.01,"HP:0000679,HP:0000705,HP:0006311,HP:0009722,HP:0006297",MP:0002100
12,OMIM:105210,"Amyloidosis, Hereditary Systemic 1",TTR,Ttr<em1(IMPC)H> hom early,25.47,"HP:0002078,HP:0002070,HP:0001251",MP:0001402
13,OMIM:105830,Angelman Syndrome,UBE3A,Ube3a<em1(IMPC)Hmgu> het early,28.905,"HP:0000752,HP:0000749,HP:0007240,HP:0002136,HP:0001251","MP:0001402,MP:0011940"
14,OMIM:105830,Angelman Syndrome,UBE3A,Ube3a<em1(IMPC)Hmgu> hom early,44.785,"HP:0000752,HP:0000749,HP:0007240,HP:0002136,HP:0001251","MP:0001402,MP:0001417,MP:0002757,MP:0011940,MP:0001399"
15,OMIM:106210,Aniridia 1,PAX6,Pax6<em1(IMPC)Mbp> het early,61.18,"HP:0007676,HP:0000526,HP:0010923,HP:0011496,HP:0000518,HP:0007759,HP:0007750,HP:0001083,HP:0200020,HP:0033743,HP:0000609,HP:0009918","MP:0001297,MP:0001314,MP:0001293,MP:0005542"
16,OMIM:106210,Aniridia 1,PAX6,Pax6<em1(IMPC)Mbp> het embryo,27.58,"HP:0007676,HP:0000526,HP:0007750,HP:0000609,HP:0033743",MP:0001297
17,OMIM:106210,Aniridia 1,PAX6,Pax6<em1(IMPC)Mbp> hom embryo,27.435,"HP:0007676,HP:0000526,HP:0007750,HP:0000609,HP:0033743",MP:0001293
18,OMIM:106600,"Tooth Agenesis, Selective, 1",MSX1,Msx1<tm1b(KOMP)Wtsi> hom embryo,52.83,HP:0000668,MP:0000111
19,OMIM:108300,"Stickler Syndrome, Type I",COL2A1,Col2a1<em1(IMPC)Ccpcz> het early,46.91,"HP:0004568,HP:0003302,HP:0000926,HP:0000347,HP:0000272,HP:0002808,HP:0002650,HP:0010891","MP:0005270,MP:0000160,MP:0000455"
20,OMIM:108300,"Stickler Syndrome, Type I",COL2A1,Col2a1<em1(IMPC)Ccpcz> hom embryo,42.725,"HP:0006361,HP:0000193,HP:0006499,HP:0001166,HP:0001634,HP:0000176,HP:0000201,HP:0000175","MP:0002109,MP:0009908,MP:0000111,MP:0000266"
21,OMIM:108720,"Atelosteogenesis, Type I",FLNB,Flnb<tm1b(KOMP)Wtsi> het early,26.63,"HP:0002949,HP:6000952","MP:0010124,MP:0000063"
22,OMIM:108720,"Atelosteogenesis, Type I",FLNB,Flnb<tm1b(KOMP)Wtsi> hom early,21.91,"HP:0003811,HP:0003826",MP:0011100
23,OMIM:108985,Sveinsson Chorioretinal Atrophy,TEAD1,Tead1<tm1a(KOMP)Wtsi> het early,59.96,"HP:0007950,HP:0000483","MP:0005543,MP:0001325"
24,OMIM:108985,Sveinsson Chorioretinal Atrophy,TEAD1,Tead1<tm1b(KOMP)Wtsi> het early,42.055,HP:0000483,"MP:0005543,MP:0011960"
25,OMIM:112240,Cole-Carpenter Syndrome 1,P4HB,P4hb<tm1b(KOMP)Wtsi> hom embryo,18.16,HP:0004322,MP:0003984
26,OMIM:112250,Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma,MTAP,Mtap<em1(IMPC)Mbp> het early,36.13,HP:0007819,MP:0001304
27,OMIM:112310,Boomerang Dysplasia,FLNB,Flnb<tm1b(KOMP)Wtsi> hom early,25.165,HP:0003811,MP:0011100
28,OMIM:112600,"Brachydactyly, Type A2",GDF5,Gdf5<em1(IMPC)H> hom early,54.265,"HP:0009575,HP:0009467,HP:0008096,HP:0009161,HP:0009536,HP:0004220,HP:0009182,HP:0004691,HP:0009568,HP:0010055,HP:0009464,HP:0010109,HP:0004209,HP:0001822","MP:0000550,MP:0000572,MP:0000556,MP:0002110"
29,OMIM:112600,"Brachydactyly, Type A2",BMPR1B,Bmpr1b<em1(IMPC)Mbp> hom early,33.97,"HP:0009575,HP:0009467,HP:0008096,HP:0009161,HP:0009536,HP:0004220,HP:0009182,HP:0004691,HP:0009568,HP:0010055,HP:0009464,HP:0010109,HP:0004209,HP:0001822",MP:0000572
30,OMIM:113000,"Brachydactyly, Type B1",ROR2,Ror2<em1(IMPC)Mbp> hom embryo,42.87,"HP:0009835,HP:0001159,HP:0009473,HP:0005819,HP:0000696,HP:0003026,HP:0010185,HP:0005831,HP:0012385,HP:0010554,HP:0011304","MP:0000562,MP:0002109,MP:0000111"
